"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
050323PJ,2408,2408,2431,N-experiment,0,Boston,2,20,0,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2408,2408,2432,N-experiment,0,Boston,2,0,20,,,8.653322,1.53994,0,27,0,0,0,1,0,1
050323PJ,2408,2408,2432,N-experiment,0,Boston,2,0,20,,,8.653322,1.53994,0,27,0,0,0,1,0,1
050323PJ,2408,2408,2432,N-experiment,0,Boston,2,0,20,,,8.653322,1.53994,0,27,0,0,0,1,0,1
050323PJ,2401,2401,2401,N-experiment,0,Boston,3,20,15,,,8.653322,1.53994,0,36,0,0,0,1,0,0
050323PJ,2401,2401,2401,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,36,0,0,0,1,0,0
050323PJ,2401,2401,2401,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,36,0,0,0,1,0,0
050323PJ,2401,2401,2402,N-experiment,0,Boston,3,15,20,,,8.653322,1.53994,0,25,0,0,0,1,1,1
050323PJ,2401,2401,2402,N-experiment,0,Boston,3,15,20,,,8.653322,1.53994,0,25,0,0,0,1,1,1
050323PJ,2401,2401,2402,N-experiment,0,Boston,3,15,20,,,8.653322,1.53994,0,25,0,0,0,1,1,1
050323PJ,2401,2401,2403,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2401,2401,2403,N-experiment,0,Boston,3,20,15,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2401,2401,2403,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2401,2401,2404,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,1,19,0,0,1,1,0,0
050323PJ,2401,2401,2404,N-experiment,0,Boston,3,20,15,,,8.653322,1.53994,1,19,0,0,1,1,0,0
050323PJ,2401,2401,2404,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,1,19,0,0,1,1,0,0
050323PJ,2402,2402,2405,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2402,2402,2405,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2402,2402,2405,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,21,0,0,0,1,1,1
050323PJ,2402,2402,2406,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,18,0,1,1,1,1,1
050323PJ,2402,2402,2406,N-experiment,0,Boston,3,20,20,,,8.653322,1.53994,0,18,0,1,1,1,1,1
