"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
011108KA,702,757,715,P-experiment,1,Samara,9,0,0,0,1,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,702,757,716,P-experiment,1,Samara,9,0,0,1,0,8.050114,-0.8842833,1,21,10,0,0,0,0,0
011108KA,702,757,716,P-experiment,1,Samara,9,0,0,1,0,8.050114,-0.8842833,1,21,10,0,0,0,0,0
011108KA,702,757,716,P-experiment,1,Samara,9,0,0,1,0,8.050114,-0.8842833,1,21,10,0,0,0,0,0
011108KA,701,757,701,P-experiment,1,Samara,10,0,0,1,7,8.050114,-0.8842833,1,22,16,0,0,1,0,0
011108KA,701,757,701,P-experiment,1,Samara,10,0,10,2,7,8.050114,-0.8842833,1,22,16,0,0,1,0,0
011108KA,701,757,701,P-experiment,1,Samara,10,0,19,0,7,8.050114,-0.8842833,1,22,16,0,0,1,0,0
011108KA,701,757,702,P-experiment,1,Samara,10,0,0,0,8,8.050114,-0.8842833,1,21,10,0,0,1,1,1
011108KA,701,757,702,P-experiment,1,Samara,10,0,10,0,8,8.050114,-0.8842833,1,21,10,0,0,1,1,1
011108KA,701,757,702,P-experiment,1,Samara,10,0,19,0,8,8.050114,-0.8842833,1,21,10,0,0,1,1,1
011108KA,704,757,703,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,1,21,14,0,0,0,0,0
011108KA,704,757,703,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,1,21,14,0,0,0,0,0
011108KA,704,757,703,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,1,21,14,0,0,0,0,0
011108KA,702,757,704,P-experiment,1,Samara,10,0,5,0,4,8.050114,-0.8842833,1,26,15,0,0,0,1,0
011108KA,702,757,704,P-experiment,1,Samara,10,0,0,0,4,8.050114,-0.8842833,1,26,15,0,0,0,1,0
011108KA,702,757,704,P-experiment,1,Samara,10,0,0,0,4,8.050114,-0.8842833,1,26,15,0,0,0,1,0
011108KA,701,757,705,P-experiment,1,Samara,10,10,0,4,2,8.050114,-0.8842833,1,21,12,0,0,1,1,1
011108KA,701,757,705,P-experiment,1,Samara,10,10,0,4,2,8.050114,-0.8842833,1,21,12,0,0,1,1,1
011108KA,701,757,705,P-experiment,1,Samara,10,10,19,0,2,8.050114,-0.8842833,1,21,12,0,0,1,1,1
011108KA,703,757,706,P-experiment,1,Samara,10,5,12,1,3,8.050114,-0.8842833,1,21,15,0,0,1,1,1
011108KA,703,757,706,P-experiment,1,Samara,10,5,15,0,3,8.050114,-0.8842833,1,21,15,0,0,1,1,1
011108KA,703,757,706,P-experiment,1,Samara,10,5,16,0,3,8.050114,-0.8842833,1,21,15,0,0,1,1,1
011108KA,701,757,707,P-experiment,1,Samara,10,19,0,3,0,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,701,757,707,P-experiment,1,Samara,10,19,0,3,0,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,701,757,707,P-experiment,1,Samara,10,19,10,0,0,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,703,757,708,P-experiment,1,Samara,10,12,5,0,1,8.050114,-0.8842833,1,21,5,0,0,1,1,0
011108KA,703,757,708,P-experiment,1,Samara,10,12,15,0,1,8.050114,-0.8842833,1,21,5,0,0,1,1,0
011108KA,703,757,708,P-experiment,1,Samara,10,12,16,0,1,8.050114,-0.8842833,1,21,5,0,0,1,1,0
011108KA,702,757,709,P-experiment,1,Samara,10,5,0,2,1,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,702,757,709,P-experiment,1,Samara,10,5,0,0,1,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,702,757,709,P-experiment,1,Samara,10,5,0,0,1,8.050114,-0.8842833,1,21,15,1,0,1,1,0
011108KA,704,757,710,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,0,23,0,0,0,1,1,1
011108KA,704,757,710,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,0,23,0,0,0,1,1,1
011108KA,704,757,710,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,0,23,0,0,0,1,1,1
011108KA,704,757,711,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,0,18,1,1,1,1,1,0
011108KA,704,757,711,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,0,18,1,1,1,1,1,0
011108KA,704,757,711,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,0,18,1,1,1,1,1,0
011108KA,704,757,712,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,1,21,2,1,0,0,1,1
011108KA,704,757,712,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,1,21,2,1,0,0,1,1
011108KA,704,757,712,P-experiment,1,Samara,10,20,20,0,0,8.050114,-0.8842833,1,21,2,1,0,0,1,1
011108KA,703,757,713,P-experiment,1,Samara,10,15,5,1,0,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,703,757,713,P-experiment,1,Samara,10,15,12,0,0,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,703,757,713,P-experiment,1,Samara,10,15,16,0,0,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,703,757,714,P-experiment,1,Samara,10,16,5,2,0,8.050114,-0.8842833,0,18,1,0,1,1,1,0
011108KA,703,757,714,P-experiment,1,Samara,10,16,12,0,0,8.050114,-0.8842833,0,18,1,0,1,1,1,0
011108KA,703,757,714,P-experiment,1,Samara,10,16,15,0,0,8.050114,-0.8842833,0,18,1,0,1,1,1,0
011108KA,702,757,715,P-experiment,1,Samara,10,0,0,1,1,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,702,757,715,P-experiment,1,Samara,10,0,5,0,1,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,702,757,715,P-experiment,1,Samara,10,0,0,0,1,8.050114,-0.8842833,1,21,10,0,0,1,0,1
011108KA,702,757,716,P-experiment,1,Samara,10,0,0,1,0,8.050114,-0.8842833,1,21,10,0,0,0,0,0
011108KA,702,757,716,P-experiment,1,Samara,10,0,5,1,0,8.050114,-0.8842833,1,21,10,0,0,0,0,0
011108KA,702,757,716,P-experiment,1,Samara,10,0,0,1,0,8.050114,-0.8842833,1,21,10,0,0,0,0,0
